District,Latitude,Longitude,Area,Population,Population Rank,Population density,Density Rank,Subdivisions,Average Housing Price (1M VND)/m2,AHP Rank,Total Companies,Company Rank
Ba Vi,21.1559766,105.3749427,421.8,305933,9,725,30,31,4,27,1264,26
Ba Dinh,21.0365377,105.8285908,9.21,226315,21,24572,5,14,207,4,21404,5
Bac Tu Liem,21.0712548,105.7644855,45.35,354364,6,7813,9,13,91.7,10,10362,11
Cau Giay,21.0295015,105.7914212,12.26,294235,11,23999,6,8,214,2,28524,2
Chuong My,20.87851585,105.6492335,237.48,347564,7,1463,22,32,22.4,20,3362,18
Gia Lam,21.0398766,105.9511964,116.64,292943,13,2511,15,22,56.1,14,5236,15
Hai Ba Trung,21.0064704,105.8578519,10.26,304101,10,29639,3,18,214,2,21232,6
Ha Dong,20.9551855,105.758011,49.64,382637,3,7708,10,17,114,7,17050,7
Hoai Duc,21.0229169,105.7034832,84.92,257633,17,3033,14,20,65.2,12,4476,16
Hoan Kiem,21.0302237,105.8523115,5.35,141687,30,26483,4,18,579,1,14422,8
Hoang Mai,20.9757581,105.8626556,40.19,540732,1,13454,7,14,112,9,22865,4
Long Bien,21.0359662,105.9021921,60.09,337982,8,5624,12,14,114,7,12881,10
Me Linh,21.18078845,105.707257,141.29,241633,18,1710,20,18,27.5,18,2631,19
My Duc,20.6973826,105.7157754,226.31,203778,24,900,29,22,16.2,23,982,30
Nam Tu Liem,21.0173512,105.7613329,32.19,282444,15,8774,8,10,113,8,14205,9
Phu Xuyen,20.7368916,105.9129798,173.56,229847,19,1324,24,27,11.9,26,1023,28
Phuc Tho,21.1083568,105.5423115,118.5,194754,26,1643,21,21,29.3,17,1211,27
Quoc Oai,20.990187,105.640876,151.22,203079,25,1342,23,21,15.7,24,1740,23
Soc Son,21.2572652,105.8481633,305.51,357652,5,1170,27,26,18.4,21,3470,17
Son Tay,21.1386671,105.5056335,117.2,151090,29,1289,25,15,11.9,26,1447,25
Tay Ho,21.0683576,105.8240984,24.38,167851,28,6884,11,8,213,3,10092,12
Thanh Oai,20.8602693,105.7801644,124.47,227541,20,1828,19,21,39.2,16,1719,24
Thanh Tri,20.9414616,105.8360327,63.49,288839,14,4549,13,16,86.3,11,8339,13
Thanh Xuan,20.9944171,105.8171316,9.17,293292,12,31983,2,11,165,6,24413,3
Thach That,21.0235566,105.5537358,187.53,223844,22,1193,26,23,18.3,22,2576,20
Thuong Tin,20.8719979,105.86414,130.13,262222,16,2015,18,29,23.4,19,2547,21
Ung Hoa,20.7110772,105.8143304,188.24,212224,23,1127,28,29,12.5,25,1014,29
Dan Phuong,21.11962705,105.6784682,77.83,185653,27,2385,16,16,57.8,13,2294,22
Dong Anh,21.1547375,105.848701,185.68,409916,2,2207,17,24,41.8,15,6979,14
Dong Da,21.0146852,105.8235426,9.95,376709,4,37860,1,21,192,5,31059,1
